,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
152,2020-06-01,871,112,40,1603,2,310,0,4246,236,0,72,0,499,691
153,2020-06-02,2113,37,0,360,12,252,0,2712,488,0,6,0,1833,2372
154,2020-06-03,2651,44,0,258,0,167,0,2982,103,0,20,0,944,1214
155,2020-06-04,5474,81,0,2550,51,300,0,5052,428,0,360,9,2722,275
156,2020-06-05,666,46,0,518,23,279,14,1598,459,149,4,0,823,1315
157,2020-06-06,1312,16,0,719,6,42,0,2174,315,384,0,0,216,296
158,2020-06-07,104,18,0,71,0,0,26,2967,504,0,7,0,411,316
159,2020-06-08,815,112,0,203,0,204,0,2887,301,0,82,0,1057,1556
160,2020-06-09,876,50,0,238,17,178,0,3541,402,0,72,0,455,553
161,2020-06-10,77,80,0,3580,8,652,166,2529,19,432,13,0,142,985
162,2020-06-11,140,0,0,508,4,8,0,1316,336,0,0,0,88,3424
163,2020-06-12,654,738,0,888,0,422,73,1912,258,0,20,0,648,2180
164,2020-06-13,860,0,92,27,15,105,0,1221,161,0,18,0,1471,4946
165,2020-06-14,388,17,0,342,5,261,0,1074,289,0,30,0,98,16954
166,2020-06-15,166,9,0,1179,0,360,0,3939,501,0,7,0,1311,2270
167,2020-06-16,101,20,0,458,0,112,0,3227,52,0,167,0,1540,4591
168,2020-06-17,273,7,0,1304,10,188,0,5462,703,0,15,0,422,8080
169,2020-06-18,40,0,0,1039,0,156,0,3882,134,0,15,0,262,1299
170,2020-06-19,128,21,0,885,0,184,0,3644,596,0,0,0,1593,279
171,2020-06-20,55,27,0,243,0,0,0,4574,212,0,0,0,874,1198
172,2020-06-21,131,0,0,383,0,0,0,1722,265,388,67,0,921,0
173,2020-06-22,617,106,0,1063,8,224,0,2663,343,0,12,0,285,482
